store,sale.date,tran.number,sku,category,qty,unit.cost,ext.cost,unit.original.retail,sale.amount,price.category,gross.margin,loyalty.member,customer.id,quarter,GM$,GM%,is_q1,price_category_Full Price,price_category_Markdown,Category_Childrens,Category_Footwear,Category_Gifts & Lifestyle,Category_Men's Apparel,Category_Women's Apparel
12,2023-02-25,11386,2918736,Footwear,1,33.39,33.39,144.0,59.94,Clearance,0.4429429429429429,0,NA,1,26.549999999999997,44.29429429429429,1,False,False,False,True,False,False,False
12,2023-02-25,11387,2923953,Footwear,1,42.69,42.69,174.0,75.0,Full Price,0.4308,0,NA,1,32.31,43.08,1,True,False,False,True,False,False,False
12,2023-02-25,11388,2923954,Footwear,1,42.69,42.69,174.0,75.0,Full Price,0.4308,0,NA,1,32.31,43.08,1,True,False,False,True,False,False,False
12,2023-02-25,11395,2927232,Women's Apparel,1,22.39,22.39,99.0,56.25,Full Price,0.6019555555555556,0,NA,1,33.86,60.19555555555556,1,True,False,False,False,False,False,True
12,2023-02-25,11398,2927233,Women's Apparel,1,22.39,22.39,99.0,56.25,Full Price,0.6019555555555556,0,NA,1,33.86,60.19555555555556,1,True,False,False,False,False,False,True
12,2023-02-25,11399,2923954,Footwear,1,42.69,42.69,174.0,75.0,Full Price,0.4308,0,NA,1,32.31,43.08,1,True,False,False,True,False,False,False
12,2023-02-25,11399,2930499,Footwear,1,25.11,25.11,114.0,75.0,Full Price,0.6652,0,NA,1,49.89,66.52,1,True,False,False,True,False,False,False
12,2023-02-25,11400,2927261,Footwear,1,34.71,34.71,144.0,75.0,Full Price,0.5372,0,NA,1,40.29,53.72,1,True,False,False,True,False,False,False
12,2023-02-25,11401,2929464,Women's Apparel,1,23.71,23.71,108.0,56.25,Full Price,0.5784888888888888,0,NA,1,32.54,57.84888888888888,1,True,False,False,False,False,False,True
12,2023-02-25,11409,2923960,Accessories,1,11.37,11.37,48.0,25.0,Full Price,0.5452,0,NA,1,13.63,54.52,1,True,False,False,False,False,False,False
12,2023-02-25,11422,2930512,Footwear,1,25.11,25.11,114.0,75.0,Full Price,0.6652,1,C40824,1,49.89,66.52,1,True,False,False,True,False,False,False
12,2023-02-25,11422,2923970,Footwear,1,26.61,26.61,114.0,75.0,Full Price,0.6452,1,C40824,1,48.39,64.52,1,True,False,False,True,False,False,False
12,2023-02-25,11422,2918772,Footwear,1,36.93,36.93,168.0,75.0,Markdown,0.5076,1,C40824,1,38.07,50.760000000000005,1,False,True,False,True,False,False,False
12,2023-02-25,11422,2930511,Footwear,1,25.11,25.11,114.0,75.0,Full Price,0.6652,1,C40824,1,49.89,66.52,1,True,False,False,True,False,False,False
12,2023-02-25,11425,2923969,Footwear,1,26.61,26.61,114.0,75.0,Full Price,0.6452,1,C41262,1,48.39,64.52,1,True,False,False,True,False,False,False
12,2023-02-25,11426,2927233,Women's Apparel,1,22.39,22.39,99.0,56.25,Full Price,0.6019555555555556,0,NA,1,33.86,60.19555555555556,1,True,False,False,False,False,False,True
12,2023-02-25,11426,2930038,Accessories,1,10.79,10.79,50.0,25.0,Markdown,0.5684,0,NA,1,14.21,56.84,1,False,True,False,False,False,False,False
12,2023-02-25,11432,2929426,Childrens,1,9.61,9.61,43.5,18.75,Full Price,0.4874666666666667,0,NA,1,9.14,48.74666666666667,1,True,False,True,False,False,False,False
12,2023-02-25,11434,2917604,Footwear,1,28.08,28.08,132.0,59.94,Clearance,0.5315315315315315,0,NA,1,31.86,53.153153153153156,1,False,False,False,True,False,False,False
12,2023-02-25,11435,2923877,Accessories,1,11.13,11.13,48.0,25.0,Full Price,0.5548,1,C41746,1,13.87,55.48,1,True,False,False,False,False,False,False
12,2023-02-25,11436,2929419,Childrens,1,8.13,8.13,36.0,18.75,Full Price,0.5663999999999999,1,C40443,1,10.62,56.63999999999999,1,True,False,True,False,False,False,False
12,2023-02-25,11439,2929762,Women's Apparel,1,23.2,23.2,108.0,56.25,Full Price,0.5875555555555555,1,C42081,1,33.05,58.75555555555555,1,True,False,False,False,False,False,True
12,2023-02-25,11453,2927259,Footwear,1,34.71,34.71,144.0,57.6,Full Price,0.39739583333333334,0,NA,1,22.89,39.739583333333336,1,True,False,False,True,False,False,False
12,2023-02-25,11456,2930496,Footwear,1,25.11,25.11,114.0,75.0,Full Price,0.6652,0,NA,1,49.89,66.52,1,True,False,False,True,False,False,False
12,2023-02-26,11489,2923955,Footwear,1,42.69,42.69,174.0,75.0,Full Price,0.4308,0,NA,1,32.31,43.08,1,True,False,False,True,False,False,False
12,2023-02-26,11493,2929792,Men's Apparel,1,20.95,20.95,94.5,43.75,Full Price,0.5211428571428571,0,NA,1,22.8,52.114285714285714,1,True,False,False,False,False,True,False
12,2023-02-26,11494,2911906,Women's Apparel,1,29.92,29.92,108.0,44.95,Clearance,0.33437152391546165,0,NA,1,15.030000000000001,33.437152391546164,1,False,False,False,False,False,False,True
12,2023-02-26,11499,2911921,Men's Apparel,1,21.54,21.54,94.5,34.97,Clearance,0.3840434658278524,1,C40959,1,13.43,38.404346582785244,1,False,False,False,False,False,True,False
12,2023-02-26,11511,2918717,Footwear,1,36.93,36.93,168.0,75.0,Markdown,0.5076,1,C40953,1,38.07,50.760000000000005,1,False,True,False,True,False,False,False
12,2023-02-26,11513,2930495,Footwear,1,25.11,25.11,114.0,75.0,Full Price,0.6652,0,NA,1,49.89,66.52,1,True,False,False,True,False,False,False
12,2023-02-26,11516,2927260,Footwear,1,34.71,34.71,144.0,75.0,Full Price,0.5372,1,C40500,1,40.29,53.72,1,True,False,False,True,False,False,False
12,2023-02-26,11516,2923954,Footwear,1,42.69,42.69,174.0,75.0,Full Price,0.4308,1,C40500,1,32.31,43.08,1,True,False,False,True,False,False,False
12,2023-02-26,11516,2933902,Men's Apparel,1,24.13,24.13,105.0,43.75,Markdown,0.4484571428571429,1,C40500,1,19.62,44.84571428571429,1,False,True,False,False,False,True,False
12,2023-02-26,11517,2926645,Women's Apparel,1,26.14,26.14,108.0,56.25,Full Price,0.5352888888888889,1,C40320,1,30.11,53.52888888888889,1,True,False,False,False,False,False,True
12,2023-02-26,11525,2929074,Women's Apparel,1,21.06,21.06,99.0,56.25,Full Price,0.6255999999999999,0,NA,1,35.19,62.559999999999995,1,True,False,False,False,False,False,True
12,2023-02-26,11536,2899812,Childrens,1,7.76,7.76,40.5,8.98,Clearance,0.13585746102449894,1,C41050,1,1.2200000000000006,13.585746102449894,1,False,False,True,False,False,False,False
12,2023-02-26,11537,2892835,Accessories,1,5.31,5.31,38.0,7.98,Clearance,0.3345864661654136,1,C41025,1,2.670000000000001,33.45864661654136,1,False,False,False,False,False,False,False
11,2023-01-02,23368,2901356,Women's Apparel,1,27.16,27.16,108.0,30.33,Clearance,0.10451697988789971,0,NA,1,3.169999999999998,10.45169798878997,1,False,False,False,False,False,False,True
11,2023-01-02,23370,2918534,Childrens,1,9.42,9.42,40.5,32.68,Full Price,0.711750305997552,0,NA,1,23.259999999999998,71.17503059975519,1,True,False,True,False,False,False,False
11,2023-01-02,23371,2901368,Women's Apparel,1,26.03,26.03,108.0,30.33,Clearance,0.14177382129904376,1,C41539,1,4.299999999999997,14.177382129904375,1,False,False,False,False,False,False,True
11,2023-02-11,23579,2910457,Footwear,1,33.39,33.39,144.0,15.0,Clearance,-1.226,1,C42334,1,-18.39,-122.6,1,False,False,False,True,False,False,False
11,2023-02-11,23580,2910456,Footwear,1,33.39,33.39,144.0,13.5,Clearance,-1.4733333333333334,1,C41549,1,-19.89,-147.33333333333334,1,False,False,False,True,False,False,False
11,2023-02-11,23582,2901354,Women's Apparel,1,27.16,27.16,108.0,11.25,Clearance,-1.4142222222222223,0,NA,1,-15.91,-141.42222222222222,1,False,False,False,False,False,False,True
11,2023-02-11,23582,2901366,Women's Apparel,1,26.03,26.03,108.0,11.25,Clearance,-1.313777777777778,0,NA,1,-14.780000000000001,-131.3777777777778,1,False,False,False,False,False,False,True
11,2023-02-11,23582,2911905,Women's Apparel,1,29.92,29.92,108.0,11.25,Clearance,-1.6595555555555557,0,NA,1,-18.67,-165.95555555555558,1,False,False,False,False,False,False,True
11,2023-02-11,23584,2918717,Footwear,1,36.93,36.93,168.0,116.64,Markdown,0.6833847736625515,0,NA,1,79.71000000000001,68.33847736625515,1,False,True,False,True,False,False,False
11,2023-02-11,23586,2899830,Childrens,1,8.1,8.1,40.5,3.75,Clearance,-1.16,1,C42110,1,-4.35,-115.99999999999999,1,False,False,True,False,False,False,False
11,2023-02-11,23586,2912056,Gifts & Lifestyle,1,10.5,10.5,48.0,5.0,Clearance,-1.1,1,C42110,1,-5.5,-110.00000000000001,1,False,False,False,False,True,False,False
11,2023-02-12,23600,2918528,Childrens,1,8.35,8.35,36.0,30.7,Full Price,0.728013029315961,0,NA,1,22.35,72.8013029315961,1,True,False,True,False,False,False,False
11,2023-02-24,23653,2929466,Women's Apparel,1,23.71,23.71,108.0,50.62,Full Price,0.531608060055314,1,C41252,1,26.909999999999997,53.160806005531406,1,True,False,False,False,False,False,True
11,2023-02-25,23666,2929795,Men's Apparel,1,20.95,20.95,94.5,43.75,Full Price,0.5211428571428571,1,C40111,1,22.8,52.114285714285714,1,True,False,False,False,False,True,False
11,2023-02-25,23666,2929472,Women's Apparel,1,25.07,25.07,108.0,56.25,Full Price,0.5543111111111111,1,C40111,1,31.18,55.43111111111111,1,True,False,False,False,False,False,True
11,2023-02-25,23666,2929426,Childrens,1,9.61,9.61,43.5,18.75,Full Price,0.4874666666666667,1,C40111,1,9.14,48.74666666666667,1,True,False,True,False,False,False,False
11,2023-02-25,23668,2824648,Accessories,1,10.45,10.45,44.0,17.98,Clearance,0.4187986651835373,0,NA,1,7.530000000000001,41.87986651835373,1,False,False,False,False,False,False,False
11,2023-02-25,23670,2918075,Footwear,1,35.16,35.16,144.0,72.0,Full Price,0.5116666666666667,0,NA,1,36.84,51.16666666666667,1,True,False,False,True,False,False,False
11,2023-03-04,23694,2926640,Footwear,2,25.86,51.72,132.0,181.5,Markdown,0.7150413223140496,1,C41955,1,129.78,71.50413223140497,1,False,True,False,True,False,False,False
11,2023-03-04,23695,2915189,Footwear,1,27.03,27.03,132.0,37.47,Clearance,0.2786228983186549,0,NA,1,10.439999999999998,27.86228983186549,1,False,False,False,True,False,False,False
11,2023-03-04,23696,2929066,Women's Apparel,1,22.39,22.39,99.0,56.25,Full Price,0.6019555555555556,1,C41774,1,33.86,60.19555555555556,1,True,False,False,False,False,False,True
11,2023-03-11,23731,2932460,Footwear,1,31.02,31.02,132.0,90.0,Full Price,0.6553333333333333,1,C41945,1,58.980000000000004,65.53333333333333,1,True,False,False,True,False,False,False
11,2023-03-11,23738,2901984,Women's Apparel,1,26.03,26.03,121.5,22.46,Clearance,-0.1589492430988424,0,NA,1,-3.5700000000000003,-15.894924309884239,1,False,False,False,False,False,False,True
11,2023-03-11,23742,2912023,Footwear,1,34.83,34.83,144.0,44.94,Clearance,0.22496662216288385,0,NA,1,10.11,22.496662216288385,1,False,False,False,True,False,False,False
11,2023-03-12,23760,2929416,Childrens,1,8.94,8.94,40.5,22.5,Full Price,0.6026666666666667,1,C40290,1,13.56,60.266666666666666,1,True,False,True,False,False,False,False
